price_total,address,area_sqft,latitude,longitude,bhk,bathrooms,balcony,status,transaction,furnishing,property_type,price_per_sqft,city,source,nearest_station,station_city,station_lat,station_lon,annual_aqi,dist_to_station_km
38200000.0,"Noida, Delhi NCR",2124.0,28.5756572575939,77.3826988418206,3.0,3.0,4.0,Ready to Move,Resale,Semi-Furnished,Flat,17985.0,Noida,new,Sector 62 Noida,Noida,28.627,77.373,224.41,5.79
7500000.0,"New Delhi, Delhi NCR",100.0,28.6248246983123,77.0943421621058,2.0,2.0,2.0,Ready to Move,Resale,Semi-Furnished,Individual House,8333.0,New Delhi,new,Pusa DPCC,New Delhi,28.6381,77.1497,201.17,5.6
2000000.0,"New Delhi, Delhi NCR",50.0,28.7509630232185,77.1963163193919,2.0,1.0,2.0,Ready to Move,Resale,Semi-Furnished,Individual House,4444.0,New Delhi,new,Jahangirpuri,New Delhi,28.7299,77.1664,241.76,3.74
17900000.0,"Noida, Delhi NCR",1375.0,28.5686858258993,77.383394497952,3.0,2.0,3.0,Ready to Move,Resale,Semi-Furnished,Flat,13018.0,Noida,new,Sector 125 Noida,Noida,28.5448,77.329,202.65,5.94
28500000.0,"Gurgaon, Delhi NCR",1800.0,28.4215541,77.0780609,3.0,3.0,2.0,Ready to Move,New Property,Semi-Furnished,Individual House,15833.0,Gurgaon,new,Vikas Sadan,Gurgaon,28.45,77.026,177.78,5.99
7500000.0,"Noida, Delhi NCR",1500.0,28.5806436110757,77.374314438751,3.0,2.0,1.0,Ready to Move,New Property,Semi-Furnished,Flat,5000.0,Noida,new,Sector 62 Noida,Noida,28.627,77.373,224.41,5.16
20500000.0,"New Delhi, Delhi NCR",1250.0,28.7228123,77.132155,3.0,2.0,2.0,Ready to Move,Resale,Semi-Furnished,Flat,16400.0,New Delhi,new,Rohini,New Delhi,28.7041,77.1172,220.66,2.54
41000000.0,"Gurgaon, Delhi NCR",270.0,28.494107,77.1033555,4.0,3.0,2.0,Ready to Move,Resale,Furnished,Individual House,16872.0,Gurgaon,new,Aya Nagar,New Delhi,28.4725,77.1097,186.49,2.48
25200000.0,"New Delhi, Delhi NCR",1750.0,28.5924962797825,77.0641983732865,3.0,2.0,3.0,Ready to Move,Resale,Semi-Furnished,Flat,14400.0,New Delhi,new,Dwarka Sector 8,New Delhi,28.5825,77.046,229.58,2.1
85000000.0,"Gurgaon, Delhi NCR",3500.0,28.4404335,77.1109749,4.0,5.0,2.0,Ready to Move,Resale,Semi-Furnished,Flat,24286.0,Gurgaon,new,Aya Nagar,New Delhi,28.4725,77.1097,186.49,3.57
